testType,nTot,nbP,median_ms
strong,1000000,1,111
strong,1000000,2,105
strong,1000000,3,254
strong,1000000,4,272
strong,10000000,1,924
strong,10000000,2,1681
strong,10000000,3,1422
strong,10000000,4,1586
strong,100000000,1,12796
strong,100000000,2,12493
strong,100000000,3,13997
strong,100000000,4,14031
weak,1000000,1,105
weak,2000000,2,413
weak,3000000,3,734
weak,4000000,4,1013
